module,function,timing,time
[PDCP],nr_pdcp_data_req_drb,start,5355763259 
[RLC],nr_rlc_entity_am_recv_sdu,end,5355763264 
[PDCP],deliver_pdu_drb_gnb,start,5355763266 
[RLC],nr_rlc_entity_am_recv_sdu,start,5355763269 
[PDCP],enqueue_rlc_data_req,start,5355763272 
[RLC],nr_rlc_entity_am_recv_sdu,end,5355763275 
[PDCP],enqueue_rlc_data_req,end,5355763277 
[RLC],nr_rlc_entity_am_recv_sdu,start,5355763280 
[PDCP],deliver_pdu_drb_gnb,end,5355763282 
[RLC],nr_rlc_entity_am_recv_sdu,end,5355763285 
[PDCP],nr_pdcp_data_req_drb,end,5355763287 
[RLC],nr_rlc_entity_am_recv_sdu,start,5355763347 
[SDAP],nr_sdap_tx_entity,end,5355763350 
[RLC],nr_rlc_entity_am_recv_sdu,end,5355763353 
[SDAP],sdap_data_req,end,5355763355 
[RLC],nr_rlc_entity_am_recv_sdu,start,5355763357 
[RLC],nr_rlc_entity_am_recv_sdu,end,5355763360 
[SDAP],sdap_data_req,start,5355763366 
[SDAP],nr_sdap_tx_entity,start,5355763370 
[PDCP],nr_pdcp_data_req_drb,start,5355763372 
[PDCP],deliver_pdu_drb_gnb,start,5355763374 
[PDCP],enqueue_rlc_data_req,start,5355763376 
[PDCP],enqueue_rlc_data_req,end,5355763379 
[PDCP],deliver_pdu_drb_gnb,end,5355763381 
[PDCP],nr_pdcp_data_req_drb,end,5355763383 
[RLC],nr_rlc_entity_am_recv_sdu,start,5355763386 
[SDAP],nr_sdap_tx_entity,end,5355763388 
[RLC],nr_rlc_entity_am_recv_sdu,end,5355763394 
[SDAP],sdap_data_req,end,5355763394 
[SDAP],sdap_data_req,start,5355763403 
[SDAP],nr_sdap_tx_entity,start,5355763405 
[PDCP],nr_pdcp_data_req_drb,start,5355763407 
[PDCP],deliver_pdu_drb_gnb,start,5355763409 
[PDCP],enqueue_rlc_data_req,start,5355763472 
[PDCP],enqueue_rlc_data_req,end,5355763476 
[PDCP],deliver_pdu_drb_gnb,end,5355763478 
[PDCP],nr_pdcp_data_req_drb,end,5355763480 
[SDAP],nr_sdap_tx_entity,end,5355763482 
[SDAP],sdap_data_req,end,5355763484 
[SDAP],sdap_data_req,start,5355763488 
[SDAP],nr_sdap_tx_entity,start,5355763491 
[PDCP],nr_pdcp_data_req_drb,start,5355763494 
[PDCP],deliver_pdu_drb_gnb,start,5355763540 
[PDCP],enqueue_rlc_data_req,start,5355763543 
[PDCP],enqueue_rlc_data_req,end,5355763546 
[PDCP],deliver_pdu_drb_gnb,end,5355763549 
